a,RMSE,Mean,RMSE - Decentered Loss
10.0,703.8394254586135,-19.757965416240694,713.9747618927474
10.05,704.0408175727086,-19.846798810100555,713.9772257190173
10.1,703.0566288336526,-19.88572863521576,713.9783089322599
10.15,702.874093920248,-19.969422795581817,713.9806448841626
10.2,702.0748453408494,-20.398877683353422,713.9927854209427
10.25,701.9602914280607,-20.237678558158876,713.9881981208368
10.3,701.7842070229649,-20.46994770298004,713.9948194359528
10.35,701.3128382910903,-20.559541283130645,713.997393664843
10.4,701.0957903808692,-20.22488610916138,713.9878356390567
10.45,700.9676888044729,-20.920873468399048,714.0078895706243
10.5,700.7785287400031,-20.891790943050385,714.0070380263937
10.55,701.5710993418759,-20.477582701301575,713.9950383691084
10.6,701.2423041333909,-20.594124788951873,713.9983903330868
10.65,700.7596358546436,-20.767316617488863,714.0034067579139
10.7,700.6327291781334,-20.66791566324234,714.0005225210126
10.75,700.6014655852374,-20.703521536159517,714.0015540784307
10.8,700.0636883451701,-21.179095619773864,714.0155022922735
10.85,700.239149870272,-21.38083650712967,714.0215147964104
10.9,699.8235343818196,-21.74937342233658,714.0326453788232
10.95,700.1768181996306,-21.62639500722885,714.0289100473626
11.0,699.701000092799,-22.05406584844589,714.0419912322129
11.05,700.6609104021135,-21.91669773683548,714.0377616499732
11.1,700.6927655866058,-22.396423670578002,714.0526473696797
11.15,700.3117207448104,-22.27296897535324,714.0487858468728
11.2,700.0207813604686,-22.49009762239456,714.0555916127826
11.25,699.6099843752576,-22.509441775989533,714.0562011434974
11.3,699.5401158307978,-22.420345105171204,714.0533980712163
11.35,699.4275934139863,-22.574313844680788,714.0582490721428
11.4,699.4792433419663,-22.752178750896455,714.063894242195
11.45,699.1935163208005,-22.724353618431092,714.0630081931087
11.5,699.1605516930889,-23.16037149820328,714.0770170159174
11.55,699.1231556755946,-22.957791176700592,714.0704752320523
11.6,698.8628254288674,-23.231543453216553,714.0793289499667
11.65,698.7438392594281,-23.48627930355072,714.0876618020651
11.7,698.8221260917255,-23.67518960084915,714.093900005491
11.75,698.5600959047257,-23.78423693933487,714.0975236963103
11.8,698.3164781353208,-23.89096019306183,714.101086262556
11.85,697.9640532863731,-24.240509973526002,714.112866251682
11.9,697.7785127081863,-24.223961743545534,714.1123047147198
11.95,697.7092258747987,-24.606318297958374,714.1253771730819
12.0,697.7577670894331,-24.132877049827577,714.109220761865
12.05,697.4712548013947,-24.421019516181946,714.119016422771
12.1,697.3928519966322,-24.853702882003784,714.1339439974569
12.15,697.2147328588089,-24.932075533866882,714.1366758631309
12.2,697.6235889048733,-24.941553801727295,714.1370068330449
12.25,697.1169856791147,-25.120526911354066,714.1432799478828
12.3,697.307441674992,-25.781436573028564,714.1668333759172
12.35,697.0125193667377,-25.760117061805726,714.1660640589512
12.4,697.486391360652,-26.009548236083983,714.1751045940073
12.45,697.3285425582538,-26.320432847595214,714.1864942770205
12.5,697.0104428261736,-26.570345105361937,714.1957481401258
12.55,697.190155633239,-26.66566270713806,714.1993006087495
12.6,696.9223148572356,-26.97870692691803,714.2110570761731
12.65,696.9673477589845,-27.091210389328,714.2153156456216
12.7,697.1434409618868,-27.333604242324828,714.2245510645039
12.75,696.5084046631104,-27.67003626346588,714.2375055464656
12.8,696.2893495978587,-27.93462984981537,714.2478050139616
12.85,696.1356933349335,-28.09188880634308,714.2539727849779
12.9,696.1556967662829,-28.09634397659302,714.2541480224438
12.95,695.7621628843856,-28.60209634666443,714.2742213868844
13.0,695.804944094413,-29.250027587890624,714.3004602660624
13.05,696.3927043201046,-29.58962483406067,714.3144470891209
13.1,696.1865003685261,-29.186273544311522,714.2978524297965
13.15,696.5707344074965,-29.60439119300842,714.3150589203092
13.2,695.5731005539417,-29.729944907951356,714.3202734394747
13.25,695.6791675339621,-30.302320276641847,714.3443245638368
13.3,695.5368717721348,-30.65343233795166,714.3593047875231
13.35,695.2628561726623,-30.76825955028534,714.3642412790339
13.4,695.0069288473977,-31.106425573158266,714.3788862601936
13.45,694.7419719671217,-31.335797060394288,714.3889106080989
13.5,694.6307521260915,-31.678487173843383,714.404024325199
13.55,694.5128394785552,-32.25844502944946,714.4299760635287
13.6,694.2498333212628,-32.565291181755065,714.4438967561894
13.65,694.4172610924877,-32.91431130695343,714.4598906245382
13.7,694.3728993000409,-33.04857148265839,714.4660884181001
13.75,694.3017410557441,-33.50976868629456,714.4875702346577
13.8,694.8964234059091,-33.69775941028595,714.4964117556432
13.85,695.4311361390709,-34.284532178688046,714.5243260863324
13.9,695.2434837655684,-34.62517851676941,714.5407520986709
13.95,695.4226620714758,-34.67963011016846,714.5433927810082
14.0,695.1479998333733,-35.01002144775391,714.5595041871518
14.05,695.2382743568797,-35.51149161586761,714.5842493780561
14.1,695.1581342908216,-35.99667902679443,714.6085252243876
14.15,694.8981093436114,-36.33515168018341,714.6256549201391
14.2,694.5884167655807,-36.84120317268371,714.6515638222777
14.25,694.7041045481673,-37.3192788690567,714.6763687136455
14.3,695.021227730006,-37.45564962673187,714.6835027558539
14.35,694.8084599319321,-38.234583725738524,714.7247489873962
14.4,694.4202918356324,-38.48257593650818,714.7380583634294
14.45,694.5804473773833,-38.76908212852478,714.7535415452688
14.5,694.7496438245473,-39.250117843055726,714.7797948830884
14.55,694.451486355833,-39.93928792228699,714.8179699351124
14.6,694.4785732266525,-40.225199445533754,714.8340017744322
14.65,693.9936021649728,-40.61585547466278,714.8560912088213
14.7,694.0718151295147,-41.094068033599854,714.8834211603778
14.75,694.3541996093243,-41.62784848499298,714.9143033902074
14.8,694.2204571408971,-42.19537658290863,714.9475737614538
14.85,694.4270789812058,-42.75837331123352,714.9810220632704
14.9,694.4438091441378,-43.389405089950564,715.0190374363999
14.95,694.0380070406262,-43.96428641338348,715.0541531256595
15.0,694.4422110195354,-44.37979946498871,715.0798207353978
15.05,694.2651523850163,-45.068088642692565,715.1228677900893
15.1,694.4040777878032,-45.72181760253906,715.164364343817
15.15,693.7634399944499,-46.20454184856415,715.1953880652837
15.2,693.9892071984948,-47.044329829216004,715.2501327448294
15.25,693.5774931100485,-47.75469485378265,715.2972069727338
15.3,693.9220906054298,-48.33893179473877,715.3364493365848
15.35,693.8177791759379,-48.80802133235932,715.368301204908
15.4,693.683662971707,-49.53115554676056,715.4180028432423
15.45,693.7056989467276,-50.350888698196414,715.4752234809491
15.5,693.8217501783741,-50.75661247329712,715.5038903683057
15.55,693.6065734836877,-51.72981779823303,715.57358634305
15.6,693.4420129763088,-52.47665545425415,715.6279639519968
15.65,693.9448928075107,-53.09225029983521,715.6733685588115
15.7,694.0347619500982,-53.825911597824096,715.7281691967648
15.75,694.0819735310013,-54.60756711349487,715.7873775140708
15.8,693.9724204985713,-55.49809220123291,715.8558665404598
15.85,693.5885927841323,-56.533889422225954,715.9369134746584
15.9,693.7003268518918,-57.348143998718264,716.0016711171237
15.95,693.7669455476209,-58.00470375099182,716.0545573346044
16.0,693.7884896438133,-58.72418600578308,716.113198764314
16.05,694.1960045368933,-59.712817057037356,716.1949482810552
16.1,693.9849521728414,-60.846481024551395,716.290358496809
16.15,693.8777412869437,-61.77846359825134,716.3701291839131
16.2,693.6815767319725,-62.77020469818115,716.4563364366788
16.25,693.6900510777804,-63.82971240386963,716.5499393677853
16.3,693.3291373749082,-64.81826109466553,716.6386749218551
16.35,693.4228455047127,-65.67141962203979,716.7163447121811
16.4,693.358914895711,-66.85337968559266,716.8256118455884
16.45,693.006849012626,-67.86124391670226,716.9203106680255
16.5,693.3708272187663,-68.70867316093445,717.0010217495873
16.55,693.2504782314908,-70.0583982585907,717.1316215235355
16.6,693.759243165882,-71.2558088973999,717.2495895600351
16.65,693.2525461072471,-72.47061783447266,717.3712942902903
16.7,693.3502981703379,-73.62022420005799,717.4883419496674
16.75,693.5032610481406,-74.96368932495118,717.6274368637419
16.8,693.6523576469586,-76.13541743927001,717.7507821041145
16.85,693.388078045808,-77.39227338218689,717.8851909613954
16.9,693.9885339608115,-78.54775718841553,718.010677902318
16.95,694.4722074491444,-79.81832823295593,718.150784267705
17.0,694.061382844183,-81.23774498977662,718.3099293713265
17.05,694.4196009488738,-82.47474321594238,718.4508798038678
17.1,694.9095306803847,-83.78052916984558,718.6019485712486
17.15,694.4239127849053,-85.17191241149902,718.7654958929568
17.2,694.5137914990175,-86.48251915817261,718.9219773677528
17.25,694.7073042590193,-87.8021912979126,719.0819203812116
17.3,694.6736099728932,-89.04170449409484,719.2343210398332
17.35,694.8366516006197,-90.54241820907593,719.4216516880508
17.4,695.07800033829,-91.90597148742675,719.5945323704618
17.45,694.5332571219726,-93.85342109069825,719.8458502157556
17.5,694.9814398163052,-95.56812834854126,720.0714204705387
17.55,695.1187308850094,-97.26437366600037,720.2985088191252
17.6,694.8988877635106,-98.9332176273346,720.525755939726
17.65,695.1279901044935,-100.79072280464172,720.7831527067611
17.7,695.8032413452917,-101.94384356651307,720.9453035172153
17.75,695.9149343336619,-103.99822112693786,721.2386660599828
17.8,696.2258759299361,-105.729859059906,721.4903925342621
17.85,696.2826169431614,-107.32289585647582,721.7255623832621
17.9,696.5457817881754,-109.33162887802123,722.0269998383284
17.95,696.6993313763894,-111.03186294021606,722.2864099582595
18.0,697.042124193568,-112.84520846633912,722.5673840523301
18.05,697.1710190725493,-114.78385683174133,722.872683957269
18.1,697.0903974998513,-116.5943721923828,723.1623822139478
18.15,697.085057198598,-118.57668595504761,723.4846327839299
18.2,697.5497197205791,-120.89608380775452,723.8683903186184
18.25,697.8403094766855,-122.67742420310974,724.1680287278124
18.3,698.3664256618409,-124.53732511138917,724.4854234339816
18.35,698.6959514028974,-126.68264055366517,724.8572789453557
18.4,699.548907002791,-128.97920081825256,725.2621716773399
18.45,699.6118739639738,-131.19178190841674,725.6589192332177
18.5,699.8890268218379,-133.55350784568788,726.0896107783833
18.55,700.5550222496599,-135.5586310573578,726.4610972905299
18.6,700.9229597627487,-137.67528579673768,726.8590425533891
18.65,701.2672301772116,-140.24224060516357,727.3496198337995
18.7,701.6984572025696,-142.68182995605468,727.823940264419
18.75,701.8621781214164,-144.6049477394104,728.2033880264041
